season,position,checkpoint,selectedRoute,validationBlocks,validationWorkerMae,validationChallengerMae,validationImprovementPct,validationWinPct,validationRecent4ImprovementPct,reason
2025,QB,8,worker,11,556.0390422072994,568.7987294895801,-2.2947466479383754,45.45454545454545,4.047288172452796,prior-validation-hold
2014,QB,12,worker,0,,,,,,insufficient-prior-blocks
2015,QB,12,worker,1,,,,,,insufficient-prior-blocks
2016,QB,12,worker,2,,,,,,insufficient-prior-blocks
2017,QB,12,worker,3,326.2123158634944,362.7703912287843,-11.206834808955495,33.33333333333333,-11.206834808955495,prior-validation-hold
2018,QB,12,worker,4,317.1440004078497,343.9745350455021,-8.460047991810686,50.0,-8.460047991810686,prior-validation-hold
2019,QB,12,worker,5,333.7015512104232,360.0686439524282,-7.901399512937426,40.0,-2.0799415709612075,prior-validation-hold
2020,QB,12,worker,6,328.1247193345864,351.43475431409837,-7.104016736923402,33.33333333333333,-2.8760366015972982,prior-validation-hold
2021,QB,12,worker,7,331.4379335181802,349.98450986893243,-5.595791692846435,42.857142857142854,-1.5022647164476157,prior-validation-hold
2022,QB,12,worker,8,328.9129780212334,347.6846140388409,-5.70717401622129,37.5,-3.144498034128965,prior-validation-hold
2023,QB,12,worker,9,332.22066703155474,349.3377885947373,-5.152334957402494,33.33333333333333,-1.6813466589525712,prior-validation-hold
2024,QB,12,worker,10,341.14955624482633,355.1021303646342,-4.089870223895234,40.0,0.023182763288423593,prior-validation-hold
2025,QB,12,worker,11,346.07141511519666,357.52974148094813,-3.310971627615458,45.45454545454545,0.2545499052584693,prior-validation-hold
2014,RB,4,worker,0,,,,,,insufficient-prior-blocks
2015,RB,4,worker,1,,,,,,insufficient-prior-blocks
2016,RB,4,worker,2,,,,,,insufficient-prior-blocks
2017,RB,4,worker,3,262.3170747916889,271.62727208977145,-3.5492151265699863,0.0,-3.5492151265699863,prior-validation-hold
2018,RB,4,worker,4,274.2768889164995,271.8996919758621,0.8667142718543556,25.0,0.8667142718543556,prior-validation-hold
2019,RB,4,worker,5,267.3274603143002,260.7624818174334,2.455781568099386,40.0,4.223977169783212,prior-validation-hold
2020,RB,4,worker,6,259.6454536110369,254.24321717898263,2.080620460293943,33.33333333333333,4.852076825427324,prior-validation-hold
2021,RB,4,worker,7,258.8902831413188,245.07427735796094,5.3366258539012765,42.857142857142854,12.156926915101447,prior-validation-hold
2022,RB,4,worker,8,263.80904006401363,244.79601875096517,7.207115157401323,50.0,14.071476302365063,prior-validation-hold
2023,RB,4,v19,9,272.83910578653104,250.90222054799793,8.040227655524022,55.55555555555556,14.711316416121297,prior-validation-pass
2024,RB,4,v19,10,268.8936231689596,245.91108762878406,8.547073474380777,60.0,17.453656232385224,prior-validation-pass
2025,RB,4,v19,11,267.6375042256951,245.96689380388986,8.097000636925207,63.63636363636363,12.516973572501817,prior-validation-pass
2014,RB,8,worker,0,,,,,,insufficient-prior-blocks
2015,RB,8,worker,1,,,,,,insufficient-prior-blocks
2016,RB,8,worker,2,,,,,,insufficient-prior-blocks
2017,RB,8,worker,3,165.3788253324335,177.9887603660674,-7.624878824895651,33.33333333333333,-7.624878824895651,prior-validation-hold
2018,RB,8,worker,4,172.5556042697721,179.874000546898,-4.241181448783541,50.0,-4.241181448783541,prior-validation-hold
2019,RB,8,worker,5,173.80150953673393,178.17684549892445,-2.5174326585844566,60.0,1.369136766796549,prior-validation-hold
2020,RB,8,worker,6,172.0828363990112,177.5288348106501,-3.1647539787240455,50.0,-1.34526126944778,prior-validation-hold
2021,RB,8,worker,7,169.30389946374635,173.35398510088103,-2.3921986734876977,57.14285714285714,1.3758101504943672,prior-validation-hold
2022,RB,8,worker,8,172.97129690993438,175.9672622301672,-1.7320592339622698,62.5,0.7650318170366875,prior-validation-hold
2023,RB,8,worker,9,175.99510252275093,175.54238529475782,0.25723285563277665,66.66666666666666,3.629791432440843,prior-validation-hold
2024,RB,8,worker,10,172.38842572949252,171.86726011348173,0.302320537939473,70.0,5.479945896914988,prior-validation-hold
2025,RB,8,worker,11,169.67051478309082,169.16053177287498,0.3005725602163801,72.72727272727273,4.985026643569759,prior-validation-hold
2014,RB,12,worker,0,,,,,,insufficient-prior-blocks
2015,RB,12,worker,1,,,,,,insufficient-prior-blocks
2016,RB,12,worker,2,,,,,,insufficient-prior-blocks
2017,RB,12,worker,3,97.7999433192033,105.58635264101626,-7.961568337927743,33.33333333333333,-7.961568337927743,prior-validation-hold
2018,RB,12,worker,4,99.36223111625695,103.77829261929034,-4.444406545044725,50.0,-4.444406545044725,prior-validation-hold
2019,RB,12,worker,5,103.15906960590033,106.79756232509733,-3.52707011908616,40.0,1.060177501037715,prior-validation-hold
2020,RB,12,worker,6,102.11014629217993,105.71837668893504,-3.533664897933301,33.33333333333333,0.1735784665456749,prior-validation-hold
2021,RB,12,worker,7,102.01484162034902,104.34041085548708,-2.279638137157268,42.857142857142854,1.6829510264689131,prior-validation-hold
2022,RB,12,worker,8,103.89973942516059,105.27894055182631,-1.3274346348665909,50.0,1.528680674160297,prior-validation-hold
2023,RB,12,worker,9,104.88415128652142,105.6534650103614,-0.7334890108786623,55.55555555555556,2.6318635761298075,prior-validation-hold
2024,RB,12,worker,10,103.55609227960198,104.43885116419442,-0.8524451484795122,50.0,3.0318732960419505,prior-validation-hold
2025,RB,12,worker,11,103.20660308671664,103.98441163981143,-0.7536422378336133,54.54545454545454,1.833728332743108,prior-validation-hold
2014,TE,4,worker,0,,,,,,insufficient-prior-blocks
2015,TE,4,worker,1,,,,,,insufficient-prior-blocks
2016,TE,4,worker,2,,,,,,insufficient-prior-blocks
2017,TE,4,worker,3,135.45114945534257,145.77246988851755,-7.619957803737835,33.33333333333333,-7.619957803737835,prior-validation-hold
2018,TE,4,worker,4,136.0856340136286,134.36610581312107,1.2635633533039452,50.0,1.2635633533039452,prior-validation-hold
2019,TE,4,worker,5,137.34175857431936,136.1827237294038,0.8439056387124836,40.0,11.13368444512163,prior-validation-hold
2020,TE,4,worker,6,139.7642619492419,136.53210398039647,2.3125782827224093,50.0,13.407057184892404,prior-validation-hold
2021,TE,4,worker,7,136.9451105202134,134.48545043941445,1.7960919316180355,42.857142857142854,8.72440136869467,prior-validation-hold
2022,TE,4,worker,8,136.55563834742762,132.54649061526834,2.935907869259212,50.0,4.596779946118749,prior-validation-hold
2023,TE,4,v19,9,137.4282743418983,133.57241559541632,2.8057244878803083,55.55555555555556,5.2545272541525785,prior-validation-pass
2024,TE,4,worker,10,137.15161823591092,135.1814013070611,1.436524741152455,50.0,0.05802283997912492,prior-validation-hold
2025,TE,4,worker,11,138.4900854068837,137.81901752911435,0.4845602310069804,45.45454545454545,-1.7415556676614277,prior-validation-hold
2014,TE,8,worker,0,,,,,,insufficient-prior-blocks
2015,TE,8,worker,1,,,,,,insufficient-prior-blocks
2016,TE,8,worker,2,,,,,,insufficient-prior-blocks
2017,TE,8,worker,3,90.43618371118241,95.74293561836843,-5.867952062344541,66.66666666666666,-5.867952062344541,prior-validation-hold
2018,TE,8,worker,4,87.61521974931894,88.97470337423442,-1.5516523599497694,75.0,-1.5516523599497694,prior-validation-hold
2019,TE,8,worker,5,87.66444017412809,88.67100930581064,-1.148206878049073,80.0,6.8751787841418714,prior-validation-hold
2020,TE,8,worker,6,88.0338589956339,88.47887113006225,-0.5055011100335945,83.33333333333334,5.6740579753873845,prior-validation-hold
2021,TE,8,worker,7,85.4586027872144,85.57688180358706,-0.138405043512307,85.71428571428571,4.616771361823214,prior-validation-hold
2022,TE,8,v19,8,86.21057128329898,85.21621948553191,1.1533989196052294,87.5,3.9480582360544965,prior-validation-pass
2023,TE,8,v19,9,85.72377967550511,84.37701672400243,1.5710494294589645,88.88888888888889,5.1482993841546785,prior-validation-pass
2024,TE,8,v19,10,86.15112630034517,84.89859971167013,1.453871403037038,90.0,4.558946596756398,prior-validation-pass
2025,TE,8,v19,11,85.54809035451073,84.34879812938581,1.4018924562255708,90.9090909090909,4.089673214649881,prior-validation-pass
2014,TE,12,worker,0,,,,,,insufficient-prior-blocks
2015,TE,12,worker,1,,,,,,insufficient-prior-blocks
2016,TE,12,worker,2,,,,,,insufficient-prior-blocks
2017,TE,12,worker,3,54.33040109758935,56.04980865529303,-3.164724579550299,33.33333333333333,-3.164724579550299,prior-validation-hold
2018,TE,12,worker,4,53.297860530998555,54.99605442589721,-3.186232764279482,25.0,-3.186232764279482,prior-validation-hold
2019,TE,12,worker,5,53.10627401080037,55.26466667029422,-4.064289388961633,20.0,-0.42040892301022403,prior-validation-hold
2020,TE,12,worker,6,53.99824407023627,55.83145469622276,-3.3949448867300314,16.666666666666664,-2.742027257817312,prior-validation-hold
2021,TE,12,worker,7,53.167827900239025,55.262436719781476,-3.93961706216897,14.285714285714285,-4.543396053396763,prior-validation-hold
2022,TE,12,worker,8,53.690517601555726,55.61100930406391,-3.5769662657387737,12.5,-3.962026125701179,prior-validation-hold
2023,TE,12,worker,9,53.33177979231724,54.87077551213803,-2.8857010319436047,22.22222222222222,-1.4264079647374264,prior-validation-hold
2024,TE,12,worker,10,53.80725616291488,55.348219730237204,-2.8638582920055815,20.0,-2.0601215018039274,prior-validation-hold
2025,TE,12,worker,11,54.02029034116911,55.3837330319102,-2.523945506642349,27.27272727272727,-0.15114176174911392,prior-validation-hold
2014,WR,4,worker,0,,,,,,insufficient-prior-blocks
2015,WR,4,worker,1,,,,,,insufficient-prior-blocks
2016,WR,4,worker,2,,,,,,insufficient-prior-blocks
2017,WR,4,worker,3,187.3474502512137,185.88620803705928,0.7799637583511537,33.33333333333333,0.7799637583511537,prior-validation-hold
2018,WR,4,worker,4,182.50554739106394,179.31341942890043,1.7490580466157424,50.0,1.7490580466157424,prior-validation-hold
2019,WR,4,v19,5,181.4693569650111,178.05635676172926,1.8807584158353976,60.0,3.7789523942209584,prior-validation-pass
2020,WR,4,v19,6,185.22127327956318,178.09141080298625,3.8493755875522435,66.66666666666666,7.588782817983302,prior-validation-pass
2021,WR,4,v19,7,182.7018412921147,176.01803853568055,3.6583116563930416,71.42857142857143,5.9150000436136745,prior-validation-pass
2022,WR,4,v19,8,187.98718454188958,177.20354732828875,5.736368274188333,75.0,9.497730075713811,prior-validation-pass
2023,WR,4,v19,9,188.66301357096413,177.06926387415345,6.145216000405812,77.77777777777779,11.039274116252008,prior-validation-pass
2024,WR,4,v19,10,188.57843281567793,175.75554068701072,6.799765984480673,80.0,11.033508742107461,prior-validation-pass
2025,WR,4,v19,11,190.74846909863334,177.2069666084303,7.099140849828222,81.81818181818183,12.47008181153453,prior-validation-pass
2014,WR,8,worker,0,,,,,,insufficient-prior-blocks
2015,WR,8,worker,1,,,,,,insufficient-prior-blocks
2016,WR,8,worker,2,,,,,,insufficient-prior-blocks
2017,WR,8,worker,3,127.05332769572749,127.4296231428445,-0.29617126441440705,66.66666666666666,-0.29617126441440705,prior-validation-hold
2018,WR,8,v19,4,125.40100866615387,123.89123013023587,1.2039604401726764,75.0,1.2039604401726764,prior-validation-pass
2019,WR,8,v19,5,128.78061924602338,126.37514157731516,1.8678879499039946,80.0,2.9733915430225415,prior-validation-pass
2020,WR,8,v19,6,128.9974226382924,125.55204942987791,2.6708853075888777,83.33333333333334,4.6018762680405825,prior-validation-pass
2021,WR,8,v19,7,127.70990521258929,124.28440363818652,2.6822520686242717,85.71428571428571,4.8960490279006255,prior-validation-pass
2022,WR,8,v19,8,129.75177086863482,124.98205021084424,3.67603511370925,87.5,5.987704031962593,prior-validation-pass
2023,WR,8,v19,9,129.12788703836276,124.21313491842005,3.806112089855985,88.88888888888889,6.214281145498907,prior-validation-pass
2024,WR,8,v19,10,128.1345873692452,122.34441644887863,4.5188196561487635,90.0,7.337861041996383,prior-validation-pass
2025,WR,8,v19,11,130.18105164552,124.37326487388168,4.461314990335759,90.9090909090909,7.4173781532390635,prior-validation-pass
2014,WR,12,worker,0,,,,,,insufficient-prior-blocks
2015,WR,12,worker,1,,,,,,insufficient-prior-blocks
2016,WR,12,worker,2,,,,,,insufficient-prior-blocks
2017,WR,12,worker,3,73.78417256032945,77.3665869564138,-4.855261327427902,0.0,-4.855261327427902,prior-validation-hold
2018,WR,12,worker,4,72.99517272347518,75.24257543019873,-3.078837439343144,25.0,-3.078837439343144,prior-validation-hold
2019,WR,12,worker,5,76.2983614081916,78.79509601734655,-3.272330575747987,20.0,-1.160704802572868,prior-validation-hold
2020,WR,12,worker,6,76.47404223178272,78.08432972702333,-2.105665462746227,33.33333333333333,0.041376067380225943,prior-validation-hold
2021,WR,12,worker,7,76.43504203298984,77.82017940883294,-1.8121758541655109,28.57142857142857,0.33513094209992145,prior-validation-hold
2022,WR,12,worker,8,77.13751521827915,78.1640733287777,-1.3308156317891011,37.5,0.23903398848486823,prior-validation-hold
2023,WR,12,worker,9,77.11364638192232,78.38393213767,-1.6472904801522534,33.33333333333333,0.3363190240586387,prior-validation-hold
2024,WR,12,worker,10,76.80980088882879,77.61536470222282,-1.048777374856067,40.0,0.5193427109459372,prior-validation-hold
2025,WR,12,worker,11,77.47570053582545,77.86490332298789,-0.5023546537439327,45.45454545454545,1.707107776983597,prior-validation-hold
